ttf-dejavu 2.34-2
ttf-mac-fonts 1-7
ttf-monaco 6.1-2
ttf-ms-fonts 2.0-10
tty-clock-borderless 0.1-2
tzdata 2016a-1
udisks2 2.1.6-1
unibilium 1.2.0-1
unixodbc 2.3.4-1
unzip 6.0-11
upower 0.99.4-2
usbutils 008-1
util-linux 2.27.1-1
v4l-utils 1.10.0-1
vagrant 1.8.1-1
vagrant-substrate 524.64c5261-1
valgrind 3.11.0-2
vertex-themes-git r541.20150923-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.2-1
vim-runtime 7.4.1386-1
virtualbox 5.0.14-1
virtualbox-guest-iso 5.0.14-1
virtualbox-host-dkms 5.0.14-1
virtualbox-host-modules 5.0.14-3
vte 0.28.2-7
vte-common 0.42.4-1
vte3 0.42.4-1
wavpack 4.75.2-1
wayland 1.10.0-1
webkit2gtk 2.10.7-1
webkitgtk 2.4.9-5
webrtc-audio-processing 0.1-3
wget 1.16.3-1
which 2.21-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.5-2
x265 1.9-1
xaw3d 1.6.2-2
xbindkeys 1.8.6-1
xbindkeys_config 0.1.3-3
xbitmaps 1.1.1-3
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xclip 0.12.git.20160201-1
xcursor-themes 1.0.4-1
xdg-utils 1.1.1-1
xdotool 3.20150503.1-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.1-3
xf86-input-mtrack 0.3.1-1
xf86driproto 2.1.1-3
xf86vidmodeproto 2.3.1-3
xfce4-volumed 0.1.13-7
xfconf 4.12.0-2
xfsprogs 4.3.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.17-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.3-2
xorg-fonts-alias 1.0.3-1
xorg-fonts-cyrillic 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-fonts-type1 7.7-1
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.1-3
xorg-server-common 1.18.1-3
xorg-server-devel 1.18.1-3
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-util-macros 1.19.0-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-3
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.28-1
xsel 1.2.0-6
xterm 322-1
xvidcore 1.3.4-1
xvkbd 3.7-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt 1.8-1
yelp-tools 3.18.0-1
yelp-xsl 3.18.1-1
zenity 3.18.1.1-1
zeromq 4.1.3-4
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zsh 5.2-1
